0,1,2,3,
91,283,1989,70.75,somewhat undesirable
92,269,1993,67.25,very undesirable
93,290,1993,72.5,very undesirable
94,293,1955,73.25,somewhat desirable
95,269,2013,134.5,somewhat undesirable
96,290,1989,72.5,very desirable
97,284,1927,71.0,somewhat undesirable
98,272,1909,68.0,somewhat desirable
99,262,2009,65.5,very undesirable
100,278,2009,69.5,very undesirable
101,298,1945,298.0,very desirable
102,312,1909,312.0,very desirable
103,298,1951,149.0,somewhat undesirable
104,305,1937,76.25,somewhat desirable
105,288,1961,72.0,somewhat undesirable
106,281,2009,70.25,very undesirable
107,296,1937,74.0,somewhat undesirable
108,287,1897,71.75,somewhat desirable
109,307,1951,230.25,somewhat desirable
110,296,1931,148.0,somewhat undesirable
111,299,1921,299.0,very desirable
112,318,1939,318.0,very desirable
113,301,1943,75.25,very undesirable
114,320,1931,320.0,very desirable
115,287,2041,71.75,somewhat undesirable
116,317,2015,237.75,somewhat desirable
117,321,1953,321.0,very desirable
118,307,1911,76.75,somewhat desirable
119,325,1923,325.0,very desirable
120,330,1899,330.0,very desirable
121,315,2021,78.75,somewhat undesirable
122,324,1881,81.0,somewhat desirable
123,329,1935,164.5,somewhat undesirable
124,305,1881,152.5,somewhat undesirable
125,352,1911,352.0,very desirable
126,335,1891,251.25,somewhat desirable
127,355,1905,88.75,very desirable
128,358,1943,89.5,very undesirable
129,347,1979,86.75,very undesirable
130,366,1893,366.0,very desirable
131,357,2017,178.5,somewhat undesirable
132,331,2039,82.75,very undesirable
133,353,1897,264.75,somewhat desirable
134,361,1939,270.75,somewhat desirable
135,345,1941,345.0,very desirable
136,358,1921,358.0,very desirable
137,322,2079,80.5,very undesirable
138,344,2005,86.0,very undesirable
139,337,2077,168.5,somewhat undesirable
140,333,2047,166.5,somewhat undesirable
141,366,1975,274.5,somewhat desirable
142,338,2031,169.0,somewhat undesirable
143,353,2005,264.75,somewhat desirable
144,318,2047,79.5,very undesirable
145,335,2063,167.5,somewhat undesirable
146,324,2083,81.0,very undesirable
147,323,2083,80.75,very undesirable
148,327,2031,163.5,somewhat undesirable
149,336,2031,168.0,somewhat undesirable
150,332,2039,166.0,somewhat undesirable
151,349,2019,261.75,somewhat desirable
152,358,1929,358.0,very desirable
153,354,1981,88.5,very undesirable
154,362,1943,362.0,very desirable
155,357,1929,267.75,somewhat desirable
156,365,1903,365.0,very desirable
157,368,1937,368.0,very desirable
158,344,1881,172.0,somewhat undesirable
159,346,1949,86.5,somewhat undesirable
160,358,1867,89.5,very undesirable
161,345,1945,86.25,very undesirable
162,338,2013,84.5,very undesirable
163,353,1971,176.5,somewhat undesirable
164,332,1991,166.0,somewhat undesirable
165,350,1909,262.5,somewhat desirable
166,356,1991,89.0,very undesirable
167,355,1991,88.75,very undesirable
168,344,1959,172.0,somewhat undesirable
169,353,1879,264.75,somewhat desirable
170,372,1875,372.0,very desirable
171,363,1973,90.75,very undesirable
172,361,1893,180.5,somewhat undesirable
173,359,1919,179.5,somewhat undesirable
174,359,1913,179.5,somewhat undesirable
175,350,1875,175.0,somewhat undesirable
176,358,1891,179.0,somewhat undesirable
177,368,1863,368.0,very desirable
178,336,1995,84.0,very undesirable
179,364,1903,273.0,somewhat desirable
180,365,1867,273.75,somewhat desirable
181,362,1891,90.5,somewhat desirable
182,357,1875,89.25,somewhat undesirable
183,383,1873,383.0,very desirable
184,368,1883,276.0,somewhat desirable
185,374,1857,93.5,somewhat desirable
186,377,1871,282.75,somewhat desirable
187,365,1825,273.75,somewhat desirable
188,367,1873,183.5,somewhat undesirable
189,368,1837,368.0,very desirable
190,385,1839,288.75,somewhat desirable
191,363,1821,363.0,very desirable
192,366,1835,183.0,somewhat undesirable
193,357,1843,178.5,somewhat undesirable
194,348,1817,174.0,somewhat undesirable
195,364,1825,182.0,somewhat undesirable
196,369,1833,276.75,somewhat desirable
197,377,1835,377.0,very desirable
198,377,1903,188.5,somewhat undesirable
199,362,1801,181.0,somewhat undesirable
200,373,1845,186.5,somewhat undesirable
201,357,1891,178.5,somewhat undesirable
202,382,1961,95.5,very undesirable
203,379,1901,284.25,somewhat desirable
204,339,1851,84.75,very undesirable
205,372,1843,186.0,somewhat undesirable
206,363,1843,181.5,somewhat undesirable
207,363,1857,181.5,somewhat undesirable
208,381,1879,95.25,very undesirable
209,379,1855,94.75,very undesirable
210,357,1803,89.25,very undesirable
211,383,1853,287.25,somewhat desirable
212,365,1823,365.0,very desirable
213,373,1819,186.5,somewhat undesirable
214,377,1799,377.0,very desirable
215,377,1881,188.5,somewhat undesirable
216,370,1801,277.5,somewhat desirable
217,383,1817,287.25,somewhat desirable
218,382,1843,191.0,somewhat undesirable
219,368,1827,184.0,somewhat undesirable
220,382,1849,286.5,somewhat desirable
221,374,1805,280.5,somewhat desirable
222,370,1819,185.0,somewhat undesirable
223,370,1789,185.0,somewhat undesirable
224,387,1841,290.25,somewhat desirable
225,377,1819,282.75,somewhat desirable
226,374,1819,187.0,somewhat undesirable
227,383,1827,191.5,somewhat undesirable
228,386,1819,289.5,somewhat desirable
229,368,1785,184.0,somewhat undesirable
230,367,1805,183.5,somewhat undesirable
231,376,1845,188.0,somewhat undesirable
232,371,1837,185.5,somewhat undesirable
233,378,1825,283.5,somewhat desirable
234,383,1847,191.5,somewhat undesirable
235,368,1787,184.0,somewhat undesirable
236,380,1815,190.0,somewhat undesirable
237,381,1823,285.75,somewhat desirable
238,365,1793,273.75,somewhat desirable
239,367,1825,183.5,somewhat undesirable
240,369,1813,92.25,somewhat undesirable
241,362,1813,90.5,very undesirable
242,380,1805,285.0,somewhat desirable
243,376,1815,282.0,somewhat desirable
244,395,1855,197.5,somewhat undesirable
245,375,1817,187.5,somewhat undesirable
246,379,1833,189.5,somewhat undesirable
247,374,1847,187.0,somewhat undesirable
248,383,1853,95.75,very undesirable
249,360,1819,90.0,very undesirable
250,370,1789,92.5,very undesirable
251,385,1833,96.25,very undesirable
252,379,1837,189.5,somewhat undesirable
253,365,1797,91.25,very undesirable
254,368,1801,184.0,somewhat undesirable
255,387,1815,96.75,very undesirable
256,373,1825,93.25,very undesirable
257,381,1821,95.25,very undesirable
258,383,1819,383.0,very desirable
259,380,1817,95.0,very undesirable
260,373,1809,93.25,somewhat undesirable
261,369,1801,369.0,very desirable
262,379,1809,94.75,very undesirable
263,357,1767,89.25,very undesirable
264,380,1823,190.0,somewhat undesirable
265,378,1793,283.5,somewhat desirable
266,369,1827,92.25,very undesirable
267,385,1843,192.5,somewhat undesirable
268,368,1823,184.0,somewhat undesirable
269,358,1769,89.5,very undesirable
270,373,1821,186.5,somewhat undesirable
271,374,1827,93.5,very undesirable
272,400,1853,100.0,very undesirable
273,368,1811,184.0,somewhat undesirable
274,378,1813,189.0,somewhat undesirable
275,382,1825,95.5,somewhat undesirable
276,379,1813,189.5,somewhat undesirable
277,386,1823,289.5,somewhat desirable
278,380,1803,380.0,very desirable
279,377,1819,282.75,somewhat desirable
280,375,1811,93.75,very undesirable
281,375,1801,375.0,very desirable
282,380,1827,190.0,somewhat undesirable
283,382,1827,95.5,very undesirable
284,362,1805,90.5,very undesirable
285,372,1821,93.0,somewhat undesirable
286,381,1841,190.5,somewhat undesirable
287,377,1795,282.75,somewhat desirable
288,380,1805,190.0,somewhat undesirable
289,371,1829,92.75,very undesirable
290,365,1781,182.5,somewhat undesirable
291,376,1785,188.0,somewhat undesirable
292,370,1795,92.5,very undesirable
293,389,1833,97.25,very undesirable
294,380,1801,285.0,somewhat desirable
295,364,1811,91.0,very undesirable
296,382,1855,95.5,very undesirable
297,369,1785,92.25,very undesirable
298,373,1779,93.25,very undesirable
299,377,1805,94.25,very undesirable
300,367,1795,183.5,somewhat undesirable
301,369,1795,92.25,very undesirable
302,361,1795,90.25,very undesirable
303,370,1809,185.0,somewhat undesirable
304,373,1809,93.25,very undesirable
305,345,1745,86.25,very undesirable
306,379,1799,189.5,somewhat undesirable
307,376,1801,282.0,somewhat desirable
308,399,1835,99.75,very undesirable
309,346,1757,173.0,somewhat undesirable
310,366,1801,183.0,somewhat undesirable
311,369,1811,92.25,very undesirable
312,376,1837,188.0,somewhat undesirable
313,374,1807,280.5,somewhat desirable
314,367,1793,91.75,very undesirable
315,364,1771,364.0,very desirable
316,382,1797,286.5,somewhat desirable
317,383,1827,191.5,somewhat undesirable
318,384,1825,96.0,very undesirable
319,373,1775,186.5,somewhat undesirable
320,373,1797,186.5,somewhat undesirable
321,376,1777,188.0,somewhat undesirable
322,380,1803,285.0,somewhat desirable
323,372,1773,93.0,very undesirable
324,372,1777,186.0,somewhat undesirable
325,367,1779,183.5,somewhat undesirable
326,370,1791,185.0,somewhat undesirable
327,380,1789,190.0,somewhat undesirable
328,367,1789,183.5,somewhat undesirable
329,368,1783,368.0,very desirable
330,368,1761,368.0,very desirable
331,375,1783,187.5,somewhat undesirable
332,367,1785,183.5,somewhat undesirable
333,371,1787,185.5,somewhat undesirable
334,363,1795,90.75,very undesirable
335,366,1783,91.5,somewhat undesirable
336,382,1797,95.5,somewhat desirable
337,389,1833,97.25,very undesirable
338,385,1807,288.75,somewhat desirable
339,378,1815,189.0,somewhat undesirable
340,385,1811,288.75,somewhat desirable
341,386,1819,193.0,somewhat undesirable
342,386,1805,193.0,somewhat undesirable
343,386,1839,193.0,somewhat undesirable
344,365,1789,91.25,very undesirable
345,390,1827,97.5,very undesirable
346,383,1809,287.25,somewhat desirable
347,371,1807,92.75,very undesirable
348,371,1799,185.5,somewhat undesirable
349,374,1799,187.0,somewhat undesirable
350,377,1809,94.25,very undesirable
351,369,1779,92.25,very undesirable
352,378,1829,94.5,very undesirable
353,373,1811,93.25,somewhat undesirable
354,380,1797,380.0,very desirable
355,377,1813,188.5,somewhat undesirable
356,377,1829,188.5,somewhat undesirable
357,375,1805,281.25,somewhat desirable
358,380,1815,285.0,somewhat desirable
359,389,1823,97.25,somewhat undesirable
360,366,1787,183.0,somewhat undesirable
361,377,1845,94.25,very undesirable
362,382,1801,382.0,very desirable
363,375,1797,187.5,somewhat undesirable
364,376,1807,188.0,somewhat undesirable
365,387,1829,96.75,very undesirable
366,377,1811,188.5,somewhat undesirable
367,379,1807,189.5,somewhat undesirable
368,373,1815,186.5,somewhat undesirable
369,393,1847,98.25,very undesirable
370,386,1865,96.5,very undesirable
371,374,1801,93.5,somewhat undesirable
372,376,1805,94.0,somewhat undesirable
373,373,1805,186.5,somewhat undesirable
374,376,1801,282.0,somewhat desirable
375,371,1805,185.5,somewhat undesirable
376,397,1849,99.25,very undesirable
377,388,1831,194.0,somewhat undesirable
378,367,1789,91.75,very undesirable
379,389,1835,194.5,somewhat undesirable
380,375,1807,375.0,very desirable
381,387,1815,96.75,somewhat undesirable
382,385,1829,192.5,somewhat undesirable
383,384,1827,192.0,somewhat undesirable
384,375,1809,281.25,somewhat desirable
385,363,1785,90.75,very undesirable
386,381,1815,285.75,somewhat desirable
387,371,1795,371.0,very desirable
388,379,1829,94.75,very undesirable
389,379,1831,94.75,very undesirable
390,377,1827,94.25,somewhat undesirable
391,376,1821,188.0,somewhat undesirable
392,384,1805,192.0,somewhat undesirable
393,358,1803,89.5,very undesirable
394,374,1797,187.0,somewhat undesirable
395,375,1817,187.5,somewhat undesirable
396,374,1829,187.0,somewhat undesirable
397,384,1835,96.0,very undesirable
398,390,1829,390.0,very desirable
399,380,1823,190.0,somewhat undesirable
400,383,1807,287.25,somewhat desirable
401,378,1833,94.5,very undesirable
402,371,1819,185.5,somewhat undesirable
403,376,1801,282.0,somewhat desirable
404,371,1813,185.5,somewhat undesirable
405,397,1819,198.5,somewhat undesirable
406,368,1797,92.0,very undesirable
407,365,1779,91.25,very undesirable
408,385,1833,96.25,very undesirable
409,386,1801,96.5,somewhat desirable
410,390,1833,195.0,somewhat undesirable
411,381,1817,190.5,somewhat undesirable
412,372,1793,186.0,somewhat undesirable
413,384,1801,288.0,somewhat desirable
414,361,1777,90.25,very undesirable
415,371,1779,92.75,very undesirable
416,364,1769,364.0,very desirable
417,360,1805,90.0,very undesirable
418,370,1785,92.5,very undesirable
419,369,1783,184.5,somewhat undesirable
420,369,1803,184.5,somewhat undesirable
421,387,1829,96.75,very undesirable
422,380,1819,285.0,somewhat desirable
423,368,1809,184.0,somewhat undesirable
424,368,1791,92.0,somewhat undesirable
425,372,1813,186.0,somewhat undesirable
426,362,1817,90.5,very undesirable
427,385,1819,288.75,somewhat desirable
428,379,1799,379.0,very desirable
429,367,1793,183.5,somewhat undesirable
430,381,1807,95.25,very undesirable
431,387,1825,96.75,very undesirable
432,366,1787,183.0,somewhat undesirable
433,367,1815,183.5,somewhat undesirable
434,379,1825,94.75,very undesirable
435,375,1813,187.5,somewhat undesirable
436,382,1823,286.5,somewhat desirable
437,360,1771,360.0,very desirable
438,380,1827,95.0,very undesirable
439,384,1819,192.0,somewhat undesirable
440,401,1835,200.5,somewhat undesirable
441,375,1803,187.5,somewhat undesirable
442,376,1799,282.0,somewhat desirable
443,358,1785,89.5,very undesirable
444,363,1819,181.5,somewhat undesirable
445,368,1825,92.0,very undesirable
446,373,1815,279.75,somewhat desirable
447,393,1819,294.75,somewhat desirable
448,382,1827,95.5,very undesirable
449,378,1789,94.5,very undesirable
450,376,1803,188.0,somewhat undesirable
451,398,1829,99.5,very undesirable
452,379,1799,189.5,somewhat undesirable
453,380,1803,190.0,somewhat undesirable
454,362,1783,90.5,very undesirable
455,381,1833,95.25,very undesirable
456,352,1813,88.0,very undesirable
457,377,1829,188.5,somewhat undesirable
458,368,1787,184.0,somewhat undesirable
459,368,1811,184.0,somewhat undesirable
460,376,1815,94.0,very undesirable
461,365,1771,91.25,very undesirable
462,338,1775,84.5,very undesirable
463,361,1799,180.5,somewhat undesirable
464,393,1855,98.25,very undesirable
465,382,1823,191.0,somewhat undesirable
466,378,1805,189.0,somewhat undesirable
467,365,1785,91.25,very undesirable
468,382,1829,95.5,very undesirable
469,375,1807,93.75,somewhat undesirable
470,386,1819,96.5,very undesirable
471,369,1789,92.25,very undesirable
472,368,1787,184.0,somewhat undesirable
473,371,1805,185.5,somewhat undesirable
474,380,1819,190.0,somewhat undesirable
475,377,1805,94.25,somewhat undesirable
476,393,1841,98.25,very undesirable
477,361,1821,90.25,very undesirable
478,368,1811,184.0,somewhat undesirable
479,358,1807,89.5,very undesirable
480,348,1787,87.0,very undesirable
481,375,1809,187.5,somewhat undesirable
482,378,1815,189.0,somewhat undesirable
483,357,1797,178.5,somewhat undesirable
484,369,1793,184.5,somewhat undesirable
485,366,1789,183.0,somewhat undesirable
486,364,1813,182.0,somewhat undesirable
487,380,1845,95.0,very undesirable
488,374,1815,93.5,very undesirable
489,384,1815,288.0,somewhat desirable
490,357,1799,89.25,very undesirable
491,363,1799,181.5,somewhat undesirable
492,367,1805,183.5,somewhat undesirable
493,339,1795,84.75,very undesirable
494,351,1769,87.75,very undesirable
495,374,1797,93.5,somewhat undesirable
496,357,1775,178.5,somewhat undesirable
497,382,1843,95.5,very undesirable
498,378,1837,189.0,somewhat undesirable
499,381,1823,95.25,very undesirable
500,349,1757,87.25,somewhat undesirable
501,347,1771,86.75,very undesirable
502,379,1807,189.5,somewhat undesirable
503,363,1771,90.75,somewhat undesirable
504,372,1785,186.0,somewhat undesirable
505,368,1795,92.0,very undesirable
506,367,1793,183.5,somewhat undesirable
507,375,1799,281.25,somewhat desirable
508,351,1805,175.5,somewhat undesirable
509,368,1781,184.0,somewhat undesirable
510,369,1803,184.5,somewhat undesirable
511,370,1789,185.0,somewhat undesirable
512,369,1807,184.5,somewhat undesirable
513,365,1815,182.5,somewhat undesirable
514,360,1803,90.0,very undesirable
515,373,1799,93.25,somewhat desirable
516,373,1841,186.5,somewhat undesirable
517,357,1813,178.5,somewhat undesirable
518,367,1799,275.25,somewhat desirable
519,360,1827,90.0,very undesirable
520,354,1789,88.5,somewhat undesirable
521,364,1829,91.0,very undesirable
522,369,1803,276.75,somewhat desirable
523,363,1805,181.5,somewhat undesirable
524,366,1813,183.0,somewhat undesirable
525,366,1811,183.0,somewhat undesirable
526,369,1809,184.5,somewhat undesirable
527,378,1823,378.0,very desirable
528,355,1787,177.5,somewhat undesirable
529,366,1803,183.0,somewhat undesirable
530,384,1893,96.0,very undesirable
531,365,1817,91.25,somewhat undesirable
532,380,1805,380.0,very desirable
533,375,1833,93.75,somewhat undesirable
534,388,1841,194.0,somewhat undesirable
535,374,1797,280.5,somewhat desirable
536,355,1797,88.75,very undesirable
537,362,1801,181.0,somewhat undesirable
538,378,1817,189.0,somewhat undesirable
539,399,1853,99.75,very undesirable
540,374,1833,187.0,somewhat undesirable
541,378,1849,189.0,somewhat undesirable
542,356,1805,89.0,very undesirable
543,376,1823,188.0,somewhat undesirable
544,390,1853,97.5,very undesirable
545,367,1829,183.5,somewhat undesirable
546,366,1803,366.0,very desirable
547,367,1819,183.5,somewhat undesirable
548,352,1821,88.0,very undesirable
549,391,1857,97.75,very undesirable
550,372,1873,93.0,very undesirable
551,373,1807,93.25,very desirable
552,355,1773,88.75,very undesirable
553,371,1795,92.75,very undesirable
554,366,1809,183.0,somewhat undesirable
555,371,1795,185.5,somewhat undesirable
556,365,1801,182.5,somewhat undesirable
557,370,1811,185.0,somewhat undesirable
558,368,1803,92.0,very undesirable
559,364,1793,182.0,somewhat undesirable
560,368,1803,92.0,very undesirable
561,347,1789,86.75,very undesirable
562,371,1825,92.75,very undesirable
563,377,1835,188.5,somewhat undesirable
564,363,1769,90.75,very undesirable
565,374,1819,187.0,somewhat undesirable
566,376,1797,94.0,very undesirable
567,355,1787,88.75,somewhat undesirable
568,368,1791,184.0,somewhat undesirable
569,376,1827,188.0,somewhat undesirable
570,358,1791,89.5,somewhat undesirable
571,375,1815,93.75,very undesirable
572,342,1765,85.5,very undesirable
573,368,1793,184.0,somewhat undesirable
574,373,1813,93.25,very undesirable
575,366,1815,183.0,somewhat undesirable
576,367,1821,91.75,very undesirable
577,375,1825,187.5,somewhat undesirable
578,365,1785,91.25,very undesirable
579,374,1785,280.5,somewhat desirable
580,369,1807,184.5,somewhat undesirable
581,389,1821,97.25,very undesirable
582,377,1817,188.5,somewhat undesirable
583,372,1795,186.0,somewhat undesirable
584,384,1831,192.0,somewhat undesirable
585,361,1785,90.25,very undesirable
586,376,1777,282.0,somewhat desirable
587,377,1787,188.5,somewhat undesirable
588,367,1789,183.5,somewhat undesirable
589,390,1825,195.0,somewhat undesirable
590,390,1819,390.0,very desirable
591,375,1809,93.75,very desirable
592,372,1813,186.0,somewhat undesirable
593,359,1803,89.75,very undesirable
594,366,1811,183.0,somewhat undesirable
595,378,1797,283.5,somewhat desirable
596,379,1795,284.25,somewhat desirable
597,367,1771,183.5,somewhat undesirable
598,363,1809,90.75,very undesirable
599,370,1795,185.0,somewhat undesirable
600,379,1799,94.75,somewhat undesirable
601,363,1785,181.5,somewhat undesirable
602,374,1789,187.0,somewhat undesirable
603,368,1783,276.0,somewhat desirable
604,379,1795,284.25,somewhat desirable
605,371,1793,92.75,somewhat undesirable
606,363,1805,90.75,very undesirable
607,383,1807,287.25,somewhat desirable
608,358,1763,179.0,somewhat undesirable
609,371,1779,92.75,somewhat undesirable
610,378,1823,94.5,very undesirable
611,381,1799,285.75,somewhat desirable
612,375,1801,187.5,somewhat undesirable
613,377,1803,94.25,very undesirable
614,390,1813,292.5,somewhat desirable
615,360,1771,180.0,somewhat undesirable
616,360,1785,90.0,somewhat undesirable
617,363,1759,90.75,somewhat undesirable
618,375,1815,93.75,somewhat undesirable
619,361,1769,180.5,somewhat undesirable
620,369,1805,184.5,somewhat undesirable
621,372,1773,93.0,very undesirable
622,380,1807,95.0,very undesirable
623,366,1799,183.0,somewhat undesirable
624,386,1809,386.0,very desirable
625,367,1781,91.75,very undesirable
626,376,1819,188.0,somewhat undesirable
627,367,1819,183.5,somewhat undesirable
628,384,1809,288.0,somewhat desirable
629,365,1773,91.25,very undesirable
630,373,1825,93.25,very undesirable
631,374,1789,187.0,somewhat undesirable
632,366,1791,91.5,very undesirable
633,358,1753,89.5,very undesirable
634,364,1801,91.0,very undesirable
635,359,1751,89.75,very undesirable
636,379,1787,189.5,somewhat undesirable
637,375,1787,187.5,somewhat undesirable
638,377,1813,94.25,very undesirable
639,368,1817,184.0,somewhat undesirable
640,360,1779,90.0,somewhat undesirable
641,378,1817,189.0,somewhat undesirable
642,389,1841,97.25,very undesirable
643,373,1795,186.5,somewhat undesirable
644,372,1795,93.0,very undesirable
645,375,1787,187.5,somewhat undesirable
646,363,1789,90.75,very undesirable
647,362,1765,181.0,somewhat undesirable
648,370,1813,185.0,somewhat undesirable
649,365,1781,182.5,somewhat undesirable
650,374,1781,93.5,very undesirable
651,367,1767,183.5,somewhat undesirable
652,372,1799,186.0,somewhat undesirable
653,380,1793,190.0,somewhat undesirable
654,381,1813,95.25,very undesirable
655,373,1793,186.5,somewhat undesirable
656,361,1767,180.5,somewhat undesirable
657,358,1759,89.5,very undesirable
658,352,1775,88.0,very undesirable
659,390,1823,97.5,very undesirable
660,380,1809,190.0,somewhat undesirable
661,381,1799,95.25,somewhat desirable
662,367,1775,91.75,very undesirable
663,379,1819,94.75,very undesirable
664,374,1799,93.5,very undesirable
665,373,1811,93.25,very undesirable
666,382,1817,286.5,somewhat desirable
667,367,1801,183.5,somewhat undesirable
668,377,1809,377.0,very desirable
669,376,1795,188.0,somewhat undesirable
670,363,1769,181.5,somewhat undesirable
671,390,1813,97.5,very undesirable
672,363,1763,181.5,somewhat undesirable
673,364,1775,182.0,somewhat undesirable
674,387,1803,96.75,very undesirable
675,368,1761,92.0,very undesirable
676,374,1793,187.0,somewhat undesirable
677,368,1799,92.0,very undesirable
678,374,1817,187.0,somewhat undesirable
679,374,1795,93.5,somewhat undesirable
680,374,1773,187.0,somewhat undesirable
681,360,1753,90.0,very undesirable
682,353,1777,88.25,very undesirable
683,368,1791,184.0,somewhat undesirable
684,361,1763,90.25,very undesirable
685,377,1787,188.5,somewhat undesirable
686,370,1799,185.0,somewhat undesirable
687,353,1749,88.25,very undesirable
688,358,1759,179.0,somewhat undesirable
689,375,1819,187.5,somewhat undesirable
690,377,1839,94.25,very undesirable
691,374,1781,187.0,somewhat undesirable
692,372,1795,93.0,somewhat undesirable
693,374,1811,187.0,somewhat undesirable
694,369,1789,92.25,somewhat undesirable
695,361,1765,90.25,very undesirable
696,372,1785,186.0,somewhat undesirable
697,369,1793,184.5,somewhat undesirable
698,353,1747,88.25,very undesirable
699,371,1801,92.75,very undesirable
700,388,1827,194.0,somewhat undesirable
701,357,1779,89.25,very undesirable
702,385,1811,96.25,very undesirable
703,353,1765,176.5,somewhat undesirable
704,376,1807,94.0,very undesirable
705,383,1795,191.5,somewhat undesirable
706,370,1819,185.0,somewhat undesirable
707,357,1787,89.25,very undesirable
708,381,1813,190.5,somewhat undesirable
709,372,1789,93.0,somewhat undesirable
710,366,1815,183.0,somewhat undesirable
711,370,1773,185.0,somewhat undesirable
712,372,1817,93.0,very undesirable
713,381,1827,95.25,very undesirable
714,369,1793,184.5,somewhat undesirable
715,347,1745,86.75,very undesirable
716,376,1813,94.0,very undesirable
717,386,1817,96.5,very undesirable
718,373,1797,186.5,somewhat undesirable
719,367,1801,183.5,somewhat undesirable
720,386,1835,96.5,very undesirable
721,375,1849,93.75,very undesirable
722,376,1817,376.0,very desirable
723,365,1783,91.25,very undesirable
724,389,1837,97.25,very undesirable
725,368,1833,92.0,very undesirable
726,363,1769,90.75,very undesirable
727,373,1799,186.5,somewhat undesirable
728,373,1807,93.25,very undesirable
729,376,1799,94.0,very undesirable
730,366,1799,183.0,somewhat undesirable
731,354,1759,88.5,very undesirable
732,356,1767,178.0,somewhat undesirable
733,382,1829,95.5,very undesirable
734,383,1819,95.75,very undesirable
735,368,1785,184.0,somewhat undesirable
736,366,1805,183.0,somewhat undesirable
737,365,1783,182.5,somewhat undesirable
738,371,1807,185.5,somewhat undesirable
739,370,1777,185.0,somewhat undesirable
740,369,1817,184.5,somewhat undesirable
741,364,1781,182.0,somewhat undesirable
742,372,1823,186.0,somewhat undesirable
743,381,1825,190.5,somewhat undesirable
744,371,1827,185.5,somewhat undesirable
745,376,1817,188.0,somewhat undesirable
746,364,1781,182.0,somewhat undesirable
747,366,1805,183.0,somewhat undesirable
748,368,1815,184.0,somewhat undesirable
749,376,1821,188.0,somewhat undesirable
750,389,1815,194.5,somewhat undesirable
751,376,1811,94.0,very undesirable
752,373,1839,93.25,very undesirable
753,380,1805,285.0,somewhat desirable
754,377,1843,94.25,very undesirable
